service_name,service_url,layer_namespace,layer_name,layer_size_bytes,error,timeout_secs
bathymetry,https://ows.emodnet-bathymetry.eu/wfs,emodnet,contours,NA,Timeout was reached: [ows.emodnet-bathymetry.eu] Operation timed out after 5002 milliseconds with 0 bytes received,5
bathymetry,https://ows.emodnet-bathymetry.eu/wfs,emodnet,quality_index,NA,Timeout was reached: [ows.emodnet-bathymetry.eu] Operation timed out after 5004 milliseconds with 0 bytes received,5
bathymetry,https://ows.emodnet-bathymetry.eu/wfs,emodnet,source_references,NA,Timeout was reached: [ows.emodnet-bathymetry.eu] Operation timed out after 5005 milliseconds with 0 bytes received,5
biology,http://geo.vliz.be/geoserver/Emodnetbio/wfs,Emodnetbio,mediseh_cor_abs_pnt,826344,NA,5
biology,http://geo.vliz.be/geoserver/Emodnetbio/wfs,Emodnetbio,mediseh_cor_abs_poly,5806784,NA,5
biology,http://geo.vliz.be/geoserver/Emodnetbio/wfs,Emodnetbio,mediseh_cymodocea_pnt,755344,NA,5
biology,http://geo.vliz.be/geoserver/Emodnetbio/wfs,Emodnetbio,Species_gridded_abundances_10year,12360760,NA,5
biology,http://geo.vliz.be/geoserver/Emodnetbio/wfs,Emodnetbio,Species_gridded_abundances_2year,2143072,NA,5
biology,http://geo.vliz.be/geoserver/Emodnetbio/wfs,Emodnetbio,Species_gridded_abundances_3year,886928,NA,5
biology,http://geo.vliz.be/geoserver/Emodnetbio/wfs,Emodnetbio,Species_gridded_abundance_all,NA,Timeout was reached: [geo.vliz.be] Operation timed out after 5002 milliseconds with 540672 bytes received,5
biology,http://geo.vliz.be/geoserver/Emodnetbio/wfs,Emodnetbio,mediseh_halophila_pnt,61672,NA,5
biology,http://geo.vliz.be/geoserver/Emodnetbio/wfs,Emodnetbio,mediseh_maerl_pnt,87176,NA,5
biology,http://geo.vliz.be/geoserver/Emodnetbio/wfs,Emodnetbio,mediseh_maerl_poly,261032,NA,5
biology,http://geo.vliz.be/geoserver/Emodnetbio/wfs,Emodnetbio,mediseh_posidonia_model,NA,Timeout was reached: [geo.vliz.be] Operation timed out after 5003 milliseconds with 1253376 bytes received,5
biology,http://geo.vliz.be/geoserver/Emodnetbio/wfs,Emodnetbio,mediseh_coral_model,NA,Timeout was reached: [geo.vliz.be] Operation timed out after 5000 milliseconds with 1169618 bytes received,5
biology,http://geo.vliz.be/geoserver/Emodnetbio/wfs,Emodnetbio,mediseh_maerl_model,NA,Timeout was reached: [geo.vliz.be] Operation timed out after 5003 milliseconds with 1417216 bytes received,5
biology,http://geo.vliz.be/geoserver/Emodnetbio/wfs,Emodnetbio,OOPS_errors,NA,Timeout was reached: [geo.vliz.be] Operation timed out after 5001 milliseconds with 401408 bytes received,5
