emodnet_thematic_lot,service_name,service_url
EMODnet Bathymetry,bathymetry,https://ows.emodnet-bathymetry.eu/wfs
EMODnet Biology,biology,https://geo.vliz.be/geoserver/Emodnetbio/wfs
EMODnet Biology,biology_occurrence_data,https://geo.vliz.be/geoserver/Dataportal/wfs
EMODnet Chemistry,chemistry_cdi_data_discovery_and_access_service,https://geo-service.maris.nl/emodnet_chemistry/wfs
EMODnet Chemistry,chemistry_cdi_distribution_observations_per_category_and_region,https://geo-service.maris.nl/emodnet_chemistry_p36/wfs
EMODnet Chemistry,chemistry_contaminants,https://geoserver.hcmr.gr/geoserver/EMODNET_SHARED/wfs
EMODnet Chemistry,chemistry_marine_litter,https://www.ifremer.fr/services/wfs/emodnet_chemistry2
EMODnet Geology,geology_coastal_behavior,https://drive.emodnet-geology.eu/geoserver/tno/wfs
EMODnet Geology,geology_events_and_probabilities,https://drive.emodnet-geology.eu/geoserver/ispra/wfs
EMODnet Geology,geology_marine_minerals,https://drive.emodnet-geology.eu/geoserver/gsi/wfs
EMODnet Geology,geology_sea_floor_bedrock,https://drive.emodnet-geology.eu/geoserver/bgr/wfs
EMODnet Geology,geology_seabed_substrate_maps,https://drive.emodnet-geology.eu/geoserver/gtk/wfs
EMODnet Geology,geology_submerged_landscapes,https://drive.emodnet-geology.eu/geoserver/bgs/wfs
EMODnet Human Activities,human_activities,https://ows.emodnet-humanactivities.eu/wfs
EMODnet Physics,physics,https://prod-geoserver.emodnet-physics.eu/geoserver/ows
EMODnet Seabed Habitats,seabed_habitats_general_datasets_and_products,https://ows.emodnet-seabedhabitats.eu/geoserver/emodnet_open/wfs
EMODnet Seabed Habitats,seabed_habitats_individual_habitat_map_and_model_datasets,https://ows.emodnet-seabedhabitats.eu/geoserver/emodnet_open_maplibrary/wfs
